IdATM	Статус	Год	Дата последней задачи	Банкомат/ИПТ--Снятие системного блока на ремонт	Программное обеспечение--OFFLINE. Требуется перезагрузка	Программное обеспечение--Завис. Требуется перезагрузка.	Программное обеспечение--Переустановка банкоматного ПО	Программное обеспечение--Требуется проверка сист. блока	Cerber--Гарантийный ремонт.	Cerber--требуется включить	Detwig--N\A	Detwig--N\A. Требуется перезагрузить АТМ	Detwig--Переустановка	Депозит--Готов к подкреплению	Депозит--Разгружен	Депозит--Сбой	Депозит--Сбой. Замятие. Требуется инкассация	Депозит--Сбой. Кассета переполнена. Требуется инкассация	Депозит--Сбой. Требуется перезагрузка по питанию	Депозит--Требуется инкассация	Депозит--Требуется проинкассировать в связи с вывозом	Депозит--Требуется разгрузить. Оставить сейф открытым.	Диспенсер--Готов к подкреплению	Диспенсер--Готов к подкреплению с покупюрным снятием.	Диспенсер--Закончились деньги в кассетах	Диспенсер--Профилактика	Диспенсер--Разгружен	Диспенсер--Разгружен аварийно	Диспенсер--Разгружен в связи с перемещением	Диспенсер--Разгружен в связи со сбоем диспенсера	Диспенсер--Разгружен в связи со сбоем кассет	Диспенсер--Сбой	Диспенсер--Сбой. Инкассация с подкреплением.	Диспенсер--Сбой. Требуется тех. выезд инженера.	Диспенсер--Сбой. Требуется тех.выезд инкассаторов. При необходимости разгрузить.	Банкомат/ИПТ--Требуется замена ИБП	Картридер--Замена устройства	Картридер--Захват карты	Картридер--Профилактика	Картридер--Сбой	Картридер--Требуется ремонт	Клавиатура EPP--Замена устройства	Клавиатура EPP--Профилактика	Клавиатура EPP--Сбой	Клавиатура FDK--Замена устройства	Клавиатура FDK--Профилактика	Комм. Оборудование--OFFLINE	Комм. Оборудование--OFFLINE. Требуется перезагрузка	Комм. Оборудование--Замена устройства	Монитор--Проверка работоспособности	Монитор--Требуется замена	ППОБ (Плановая профилактика)--Готов к подкреплению	ППОБ (Плановая профилактика)--Разгружен	ППОБ (Плановая профилактика)--Требуется разгрузка (замки перевести на инженерные)	Считыватель ТК--OFFLINE	Считыватель ТК--Замена устройства	Считыватель ТК--Профилактика	Считыватель ТК--Сбой	Считыватель ТК--Установка	Чековый принтер--Замена расходных материалов. Закончилась бумага	Чековый принтер--Замена расходных материалов. Мало бумаги	Чековый принтер--Замена устройства	Чековый принтер--Профилактика	Чековый принтер--Ремонт	Чековый принтер--Сбой	Банкомат/ИПТ--Проверка работоспособности	Банкомат/ИПТ--требуется ремонт кассет	Банкомат/ИПТ--Ремонт замка	Депозит--Сбой.Необходимо сбросить ошибку.	Банкомат/ИПТ--Не работает сканер штрих-кодов, требуется проверка	Депозит--Разгружен. Требуется замена купюроприемника	Банкомат/ИПТ--Ошибка по журнальному принтеру	Время просрочки, ч
13	Снят	2018	25.02.2019	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	
14	Снят	2018	06.06.2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	
15	Работает	2018	15.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	
17	Снят	2018	23.10.2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	7	0	0	0	0	0	0	0	
18	Снят	2018	13.02.2019	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	
20	Работает	2018	23.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	
21	Снят	2018	26.09.2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	1	0	2	0	0	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	
23	Снят	2018	17.11.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
24	Работает	2018	23.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	
25	Снят	2018	16.05.2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
26	Работает	2018	25.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	1	0	0	0	0	0	3	0	0	1	4	0	0	0	0	0	0	0	
27	Работает	2018	21.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	
28	Работает	2018	01.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	
29	Работает	2018	25.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	7	0	0	0	0	0	0	0	
30	Работает	2018	26.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	1	0	0	0	0	0	6	1	0	0	8	0	0	0	0	0	0	0	
31	Работает	2018	25.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	4	0	0	0	0	2	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	
32	Снят	2018	07.06.2018	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	
33	Работает	2018	19.02.2021	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
34	Работает	2018	24.02.2021	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	
35	Работает	2018	06.02.2021	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	
36	Работает	2018	15.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	
37	Работает	2018	25.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	
38	Снят	2018	29.12.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
40	Работает	2018	23.02.2021	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	
41	Работает	2018	23.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
42	Работает	2018	19.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	
43	Работает	2018	12.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	2	3	0	0	0	1	1	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	
44	Работает	2018	26.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
46	Снят	2018	22.02.2021	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	
47	Работает	2018	31.12.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	6	0	0	0	4	0	0	0	0	0	0	0	
48	Работает	2018	29.01.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	
49	Работает	2018	26.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
50	Работает	2018	26.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	1	0	0	1	0	2	0	0	0	0	1	1	1	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	2	0	0	0	0	0	0	0	
51	Снят	2018	19.01.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	
52	Работает	2018	20.01.2021	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	13	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
53	Работает	2018	25.02.2021	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	
54	Работает	2018	24.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
55	Работает	2018	13.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	
56	Снят	2018	24.06.2019	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	1	0	1	0	0	0	0	3	0	2	22	2	1	0	14	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	20	0	0	0	0	0	0	0	
57	Работает	2018	12.02.2021	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	
58	Снят	2018	23.07.2018	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	
60	Работает	2018	23.02.2021	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	6	0	0	0	0	0	0	0	
61	Работает	2018	02.12.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
62	Работает	2018	16.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	
63	Работает	2018	26.02.2021	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	
64	Снят	2018	22.05.2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
65	Работает	2018	02.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	
66	Работает	2018	22.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	
67	Работает	2018	23.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	
69	Снят	2018	09.01.2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
70	Снят	2018	04.02.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
72	Снят	2018	24.05.2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
74	Работает	2018	05.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	9	0	0	0	0	0	0	0	
75	Работает	2018	23.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
77	Работает	2018	21.02.2021	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	
78	Снят	2018	30.11.2018	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	
79	Работает	2018	23.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
80	Работает	2018	23.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	
81	Работает	2018	22.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
82	Снят	2018	09.06.2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
83	Работает	2018	04.02.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
